City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Souillac,75,MU,1623958333,83,-20.5167,57.5167,71.98,9.22
Peniche,100,PT,1623958334,91,39.3558,-9.3811,63.88,19.86
Rikitea,99,PF,1623958334,77,-23.1203,-134.9692,74.48,27.63
Kiryat Gat,0,IL,1623958334,100,31.61,34.7642,73.81,5.35
Pandan,97,PH,1623958335,82,14.0453,124.1694,80.83,5.35
Kovdor,100,RU,1623958335,72,67.5662,30.4758,52.95,10.29
Hudson Bay,71,CA,1623958335,52,52.85,-102.3842,62.42,18.54
Tasiilaq,75,GL,1623958335,72,65.6145,-37.6368,41.16,4.72
Ribeira Grande,75,PT,1623958336,73,38.5167,-28.7,68.4,9.22
Atar,1,MR,1623958336,15,20.5169,-13.0499,97.34,9.75
Albany,7,US,1623958206,36,42.6001,-73.9662,78.03,3.0
La Ronge,75,CA,1623958336,48,55.1001,-105.2842,62.85,9.22
College,75,US,1623958337,89,64.8569,-147.8028,59.32,5.75
Alofi,99,NU,1623958337,100,-19.0595,-169.9187,71.49,12.66
São Filipe,1,CV,1623958337,74,14.8961,-24.4956,74.73,12.28
East London,0,ZA,1623958337,72,-33.0153,27.9116,63.27,15.01
Panzhihua,100,CN,1623958338,77,26.5851,101.7128,75.6,1.59
Hong Kong,9,HK,1623958095,81,22.2855,114.1577,86.97,7.0
Kirakira,6,SB,1623958338,84,-10.4544,161.9205,77.88,6.64
Atuona,16,PF,1623958339,74,-9.8,-139.0333,79.39,22.93
Bengkulu,100,ID,1623958339,85,-3.8004,102.2655,74.57,3.96
Puerto Escondido,90,MX,1623958339,61,15.85,-97.0667,85.03,11.5
Thompson,90,CA,1623958265,93,55.7435,-97.8558,44.76,12.66
Ushuaia,0,AR,1623958340,81,-54.8,-68.3,38.82,3.44
Vaini,20,TO,1623958340,100,-21.2,-175.2,66.36,3.44
Kapaa,1,US,1623958113,77,22.0752,-159.319,80.92,3.0
Yellowknife,40,CA,1623958159,58,62.456,-114.3525,57.72,4.61
Khuzdar,2,PK,1623958340,42,27.7384,66.6434,78.55,2.24
Hobart,75,AU,1623958304,96,-42.8794,147.3294,54.01,8.05
Olafsvik,90,IS,1623958341,65,64.8945,-23.7142,42.6,12.68
Saint Anthony,1,US,1623958325,54,45.0205,-93.218,88.0,1.01
Bilibino,100,RU,1623958341,100,68.0546,166.4372,36.12,3.31
Punta Arenas,0,CL,1623958321,87,-53.15,-70.9167,39.31,5.75
Busselton,14,AU,1623958341,80,-33.65,115.3333,51.28,9.01
Pangnirtung,75,CA,1623958342,75,66.1451,-65.7125,42.8,6.91
Iqaluit,75,CA,1623958342,87,63.7506,-68.5145,35.33,18.01
Tiksi,100,RU,1623958342,82,71.6872,128.8694,43.5,4.81
Naze,100,JP,1623958325,89,28.3667,129.4833,73.33,4.97
